ticker,Date,Open,High,Low,Close,Volume
2330.TW,2026-06-22,2455.0,2510.0,2455.0,2510.0,39272494
2330.TW,2026-06-23,2510.0,2535.0,2490.0,2490.0,36787497
2454.TW,2026-06-22,4385.0,4565.0,4380.0,4465.0,10836913
2454.TW,2026-06-23,4720.0,4785.0,4515.0,4535.0,18074228
2303.TW,2026-06-22,160.0,160.0,160.0,160.0,63984566
2303.TW,2026-06-23,173.0,176.0,167.5,170.0,550003061
3711.TW,2026-06-22,660.0,674.0,652.0,674.0,34148594
3711.TW,2026-06-23,679.0,700.0,662.0,662.0,44202807
3034.TW,2026-06-22,529.0,567.0,526.0,567.0,10695591
3034.TW,2026-06-23,600.0,606.0,543.0,544.0,14372315
2379.TW,2026-06-22,840.0,900.0,840.0,900.0,6927501
2379.TW,2026-06-23,948.0,970.0,857.0,863.0,8036856
2317.TW,2026-06-22,270.0,275.5,268.5,268.5,63638370
2317.TW,2026-06-23,270.0,270.5,259.0,259.5,91205283
2308.TW,2026-06-22,2170.0,2195.0,2135.0,2150.0,13464755
2308.TW,2026-06-23,2170.0,2170.0,2080.0,2080.0,14721800
2382.TW,2026-06-22,378.5,385.0,376.5,380.0,18712055
2382.TW,2026-06-23,381.0,381.0,368.0,372.5,16318816
3231.TW,2026-06-22,164.5,166.0,161.5,162.5,45081560
3231.TW,2026-06-23,163.0,163.5,158.0,158.5,46629945
2324.TW,2026-06-22,38.099998474121094,39.20000076293945,37.5,37.5,91555008
2324.TW,2026-06-23,37.79999923706055,38.0,36.20000076293945,36.54999923706055,62265819
2357.TW,2026-06-22,793.0,806.0,788.0,788.0,3240855
2357.TW,2026-06-23,799.0,819.0,783.0,785.0,6484830
2395.TW,2026-06-22,501.0,511.0,494.5,499.5,2926955
2395.TW,2026-06-23,505.0,505.0,483.0,487.5,2201018
3008.TW,2026-06-22,5275.0,5360.0,5125.0,5185.0,1701224
3008.TW,2026-06-23,5165.0,5185.0,4965.0,5000.0,1927030
3037.TW,2026-06-22,999.0,1055.0,992.0,1005.0,26146131
3037.TW,2026-06-23,1000.0,1075.0,974.0,974.0,26547043
6669.TW,2026-06-22,4985.0,4990.0,4855.0,4855.0,1623875
6669.TW,2026-06-23,4930.0,4930.0,4675.0,4675.0,1976210
3661.TW,2026-06-22,4510.0,4580.0,4285.0,4325.0,1887514
3661.TW,2026-06-23,4410.0,4525.0,4215.0,4375.0,2237090
2345.TW,2026-06-22,2495.0,2605.0,2485.0,2595.0,3153980
2345.TW,2026-06-23,2675.0,2720.0,2435.0,2435.0,3942047
2301.TW,2026-06-22,216.0,231.5,215.0,231.5,44405482
2301.TW,2026-06-23,234.5,241.0,223.5,223.5,58095540
2408.TW,2026-06-22,484.0,505.0,480.0,505.0,94025445
2408.TW,2026-06-23,488.0,500.0,454.5,454.5,163844551
2412.TW,2026-06-22,144.0,146.0,143.5,144.5,8251017
2412.TW,2026-06-23,145.0,145.5,144.0,144.0,11402959
3045.TW,2026-06-22,119.0,119.5,117.0,118.5,11164725
3045.TW,2026-06-23,118.5,119.5,118.0,119.0,7655578
4904.TW,2026-06-22,108.0,109.5,104.5,108.0,43124338
4904.TW,2026-06-23,108.5,109.5,105.5,107.0,40703323
2881.TW,2026-06-22,139.5,141.0,136.0,138.5,24131602
2881.TW,2026-06-23,137.0,141.0,137.0,137.5,24253623
2882.TW,2026-06-22,117.0,117.5,112.0,113.0,34021982
2882.TW,2026-06-23,113.0,116.5,113.0,113.5,29367407
2891.TW,2026-06-22,71.9000015258789,71.9000015258789,70.0999984741211,70.5,52104724
2891.TW,2026-06-23,70.30000305175781,73.5999984741211,70.30000305175781,72.4000015258789,62312485
2886.TW,2026-06-22,45.5,45.5,44.45000076293945,44.75,52982562
2886.TW,2026-06-23,44.5,45.70000076293945,44.29999923706055,45.20000076293945,47285250
2884.TW,2026-06-22,36.0,36.599998474121094,35.70000076293945,35.79999923706055,105600540
2884.TW,2026-06-23,35.79999923706055,36.349998474121094,35.54999923706055,35.79999923706055,56244144
2892.TW,2026-06-22,32.599998474121094,32.75,32.150001525878906,32.29999923706055,46637607
2892.TW,2026-06-23,32.29999923706055,32.70000076293945,32.0,32.45000076293945,54511492
2885.TW,2026-06-22,68.5999984741211,69.0,67.19999694824219,68.80000305175781,37235463
2885.TW,2026-06-23,68.19999694824219,69.69999694824219,67.5999984741211,68.30000305175781,40499955
2880.TW,2026-06-22,38.45000076293945,38.5,37.04999923706055,37.599998474121094,43494890
2880.TW,2026-06-23,37.20000076293945,38.0,36.95000076293945,37.54999923706055,48353027
2883.TW,2026-06-22,30.600000381469727,30.950000762939453,30.100000381469727,30.350000381469727,84409551
2883.TW,2026-06-23,30.649999618530273,30.899999618530273,30.100000381469727,30.100000381469727,89224210
2887.TW,2026-06-22,32.599998474121094,32.599998474121094,31.950000762939453,32.04999923706055,61813203
2887.TW,2026-06-23,32.0,32.95000076293945,32.0,32.150001525878906,72719570
2890.TW,2026-06-22,40.75,40.75,39.599998474121094,39.79999923706055,93472910
2890.TW,2026-06-23,40.0,40.29999923706055,39.099998474121094,39.79999923706055,61208364
5880.TW,2026-06-22,24.75,24.75,24.350000381469727,24.450000762939453,23042380
5880.TW,2026-06-23,24.350000381469727,24.649999618530273,24.299999237060547,24.549999237060547,23817015
5871.TW,2026-06-22,116.0,119.0,116.0,118.0,12891667
5871.TW,2026-06-23,117.5,118.0,115.0,115.0,5552772
1301.TW,2026-06-22,52.70000076293945,53.5,51.70000076293945,52.400001525878906,51528306
1301.TW,2026-06-23,52.79999923706055,53.20000076293945,49.25,49.54999923706055,36114404
1303.TW,2026-06-22,152.5,152.5,152.5,152.5,56588360
1303.TW,2026-06-23,157.0,165.0,153.0,154.5,221932655
1326.TW,2026-06-22,55.0,57.20000076293945,54.099998474121094,56.20000076293945,33073679
1326.TW,2026-06-23,58.5,59.20000076293945,53.0,53.099998474121094,51691209
6505.TW,2026-06-22,53.28888811888518,53.484444417600265,52.11555405652083,52.79999923706055,7861989
6505.TW,2026-06-23,53.5,53.5,52.0,52.099998474121094,7025000
2603.TW,2026-06-22,194.5,194.5,192.5,193.0,15150215
2603.TW,2026-06-23,194.0,194.0,188.0,189.0,21818506
2609.TW,2026-06-22,52.0,52.70000076293945,51.400001525878906,52.29999923706055,37822686
2609.TW,2026-06-23,52.70000076293945,52.79999923706055,51.20000076293945,51.29999923706055,19899861
2615.TW,2026-06-22,81.0,81.9000015258789,80.30000305175781,80.5,6973550
2615.TW,2026-06-23,81.0,81.19999694824219,78.69999694824219,78.69999694824219,8909461
2002.TW,2026-06-22,19.25,19.899999618530273,19.149999618530273,19.5,129066657
2002.TW,2026-06-23,19.75,19.950000762939453,19.149999618530273,19.200000762939453,87042025
1101.TW,2026-06-22,24.549999237060547,24.649999618530273,24.200000762939453,24.350000381469727,40283887
1101.TW,2026-06-23,24.350000381469727,24.5,24.049999237060547,24.149999618530273,34757177
1216.TW,2026-06-22,74.9000015258789,74.9000015258789,74.0,74.30000305175781,14792522
1216.TW,2026-06-23,74.5999984741211,75.5,73.9000015258789,75.0999984741211,17222534
2207.TW,2026-06-22,482.5,482.5,475.0,481.0,454148
2207.TW,2026-06-23,478.0,493.0,478.0,485.0,879156
2912.TW,2026-06-22,224.5,225.5,221.0,221.0,3269502
2912.TW,2026-06-23,221.0,228.0,221.0,227.0,4442326
9904.TW,2026-06-22,26.350000381469727,26.549999237060547,26.100000381469727,26.100000381469727,22687290
9904.TW,2026-06-23,26.200000762939453,26.25,26.0,26.0,20944998
1590.TW,2026-06-22,1400.0,1415.0,1370.0,1395.0,831050
1590.TW,2026-06-23,1400.0,1405.0,1360.0,1375.0,1204396
